"Timestamp","What is your age?","What is your gender?","Occupation","Device Type","Rate your weekly work productivity score on a scale of 0-10. ","To the nearest half hour, what is your average daily screen time during the weekends?","To the nearest half hour, what is your average daily screen time?","To the nearest half hour, how much sleep do you get a night?","To the nearest half hour, on average, how much time do you spend on social media a day?","What is your stress level on a scale of 0 -10? ","How many cups of caffeinated beverages (coffee, energy drinks, etc.) do you drink per day? "
"2026/02/26 6:41:47 PM PST","34","Male","Student","iOS","10","2 hours","1.5 hours","7 hours","0.5 hours","1","1"
"2026/02/26 6:41:47 PM PST","24","Male","Student","iOS","9","6 hours","5 hours","8 hours","1 hour","8","0"
"2026/02/26 6:41:48 PM PST","26","Male","Student","iOS","9","8 hours","8.5 hours","5 hours","6 hours","8","1"
"2026/02/26 6:41:53 PM PST","22","Female","Student","iOS","4","3 hours","2 hours","7 hours","3 hours","10","3"
"2026/02/26 6:41:54 PM PST","22","Female","Student;Professional","iOS","8","10 hours","7.5 hours","6 hours","7.5 hours","6","0"
"2026/02/26 6:41:55 PM PST","21","Female","Student","iOS","6","2.5 hours","4.5 hours","9.5 hours","0.5 hours","1","1"
"2026/02/26 6:42:05 PM PST","25","Female","Student","iOS","9","3.5 hours","3 hours","6.5 hours","0.5 hours","7","0"
"2026/02/26 6:42:07 PM PST","22","Female","Student;Professional","iOS","5","6 hours","5 hours","6 hours","4 hours","6","0"
"2026/02/26 6:42:12 PM PST","24","Female","Student","iOS","6","4 hours","6.5 hours","7 hours","1 hour","6","1"
"2026/02/26 6:42:15 PM PST","23","Male","Student","iOS","7","6 hours","5 hours","7 hours","3 hours","6","1"
"2026/02/26 6:42:19 PM PST","31","Female","Student","iOS","5","2.5 hours","3 hours","8 hours","1 hour","7","1"
"2026/02/26 6:42:21 PM PST","24","Male","Student","iOS","7","8 hours","7 hours","6.5 hours","3.5 hours","7","1"
"2026/02/26 6:42:24 PM PST","33","Female","Student","Android","6","7.5 hours","4.5 hours","7 hours","2 hours","8","2"
"2026/02/26 6:42:28 PM PST","25","Male","Student","iOS","1","13.5 hours","13 hours","7 hours","1 hour","10","0"
"2026/02/26 6:42:31 PM PST","28","Male","Student","iOS","6","6 hours","8 hours","6 hours","2 hours","7","1"
"2026/02/26 6:42:37 PM PST","22","Female","Student","iOS","6","6 hours","2.5 hours","8 hours","3.5 hours","7","1"
"2026/02/26 6:42:45 PM PST","23","Female","Student","iOS","5","3 hours","3.5 hours","4 hours","3.5 hours","5","5"
"2026/02/26 6:43:08 PM PST","29","Female","Student","iOS","6","3 hours","6 hours","9 hours","2 hours","8","3"
"2026/02/26 6:43:33 PM PST","29","Female","Student","iOS","6","8 hours","6 hours","7 hours","1.5 hours","7","1"
"2026/02/26 6:43:57 PM PST","23","Male","Student","Android","8","13.5 hours","9 hours","5.5 hours","3 hours","9","10"
"2026/02/26 6:46:28 PM PST","23","Female","Student","iOS","6","9 hours","9 hours","7 hours","3.5 hours","7","0"
"2026/02/26 6:47:39 PM PST","25","Female","Student","iOS","5","9 hours","8 hours","2.5 hours","11 hours","4","2"
"2026/02/26 7:37:04 PM PST","25","Female","Student","iOS","9","4 hours","1.5 hours","8 hours","1.5 hours","7","0"
"2026/02/26 9:02:48 PM PST","31","Female","Student","iOS","6","9 hours","6 hours","5 hours","5 hours","10","5"
"2026/02/26 9:09:00 PM PST","23","Male","Student","iOS","8","8 hours","10 hours","8 hours","2 hours","7","1"
"2026/02/26 9:39:19 PM PST","32","Female","Student","iOS","8","5 hours","3 hours","8.5 hours","1.5 hours","6","1"
"2026/02/26 10:15:41 PM PST","33","Male","Student","iOS","5","7 hours","7 hours","7 hours","1 hour","5","1"
"2026/02/27 10:13:39 AM PST","21","Female","Student","iOS","7","12 hours","12 hours","7 hours","4 hours","4","0"
"2026/02/27 9:40:36 PM PST","33","Female","Professional","iOS","7","10 hours","9 hours","6.5 hours","5 hours","9","3"
"2026/03/01 11:02:46 AM PST","28","Male","Student","iOS","10","8 hours","6 hours","7 hours","5 hours","6","1"
"2026/03/03 11:15:49 AM PST","19","Male","Student","iOS","4","4.5 hours","5 hours","6 hours","3 hours","8","0"
"2026/03/03 11:16:03 AM PST","22","Male","Student","iOS","8","2 hours","2.5 hours","6 hours","1 hour","5","3"
"2026/03/03 11:16:24 AM PST","18","Male","Student","iOS","9","3.5 hours","4.5 hours","8 hours","1 hour","8","3"
"2026/03/03 11:18:17 AM PST","25 ","Male","Student","iOS","8","3 hours","3.5 hours","8 hours","1 hour","5","3"
"2026/03/03 11:23:33 AM PST","21","Male","Student","iOS","5","5 hours","6 hours","7 hours","3 hours","2","1"
"2026/03/03 11:24:06 AM PST","22","Male","Student","iOS","6","6.5 hours","5.5 hours","8 hours","4 hours","6","2"
"2026/03/03 11:27:29 AM PST","18","Male","Student","iOS","5","4.5 hours","6 hours","7.5 hours","3 hours","5","0"
"2026/03/03 11:33:20 AM PST","19","Male","Student","iOS","6","3.5 hours","4.5 hours","7.5 hours","2.5 hours","1","1"
"2026/03/03 2:49:53 PM PST","20","Male","Student","iOS","3","5.5 hours","5.5 hours","7.5 hours","2.5 hours","6","1"
"2026/03/03 7:08:32 PM PST","21","Male","Student","iOS","8","2.5 hours","2.5 hours","7.5 hours","0.5 hours","5","0"
